video,labelName,label,sampleIndex,earMean,earMin,earStd,marMean,marMax,marStd,perclos,eyesClosedRatio,yawnCount
video-2-alert.mkv,alert,0,74,0.313,0.1332,0.0501,0.0021,0.0041,0.0008,0.0667,0.0,0
video-2-alert.mkv,alert,0,75,0.3134,0.1332,0.0513,0.0021,0.0041,0.0008,0.0667,0.0,0
video-2-alert.mkv,alert,0,76,0.3191,0.1524,0.0394,0.0022,0.0042,0.0009,0.0333,0.0,0
video-2-alert.mkv,alert,0,77,0.3217,0.2374,0.0241,0.0026,0.0082,0.0017,0.0,0.0,0
video-2-alert.mkv,alert,0,78,0.3217,0.2374,0.0241,0.0026,0.0082,0.0017,0.0,0.0,0
video-2-alert.mkv,alert,0,79,0.323,0.2374,0.0244,0.0028,0.0082,0.0017,0.0,0.0,0
video-2-alert.mkv,alert,0,80,0.322,0.1469,0.0372,0.0028,0.0082,0.0017,0.0333,0.0,0
video-2-alert.mkv,alert,0,81,0.3135,0.0749,0.0573,0.0027,0.0082,0.0018,0.0667,0.0,0
video-2-alert.mkv,alert,0,82,0.3155,0.0749,0.0575,0.0026,0.0082,0.0019,0.0667,0.0,0
video-2-alert.mkv,alert,0,83,0.321,0.0749,0.0586,0.0022,0.0044,0.0011,0.0667,0.0,0
video-2-alert.mkv,alert,0,84,0.3223,0.0749,0.0589,0.0021,0.0046,0.0012,0.0667,0.0,0
video-2-alert.mkv,alert,0,85,0.3223,0.0749,0.0589,0.0018,0.0046,0.0012,0.0667,0.0,0
video-2-alert.mkv,alert,0,86,0.3291,0.0749,0.0489,0.0017,0.0046,0.001,0.0333,0.0,0
video-2-alert.mkv,alert,0,87,0.3385,0.315,0.0115,0.0018,0.0046,0.001,0.0,0.0,0
video-2-alert.mkv,alert,0,88,0.3375,0.315,0.0104,0.0017,0.0046,0.0009,0.0,0.0,0
video-2-alert.mkv,alert,0,89,0.3358,0.315,0.0094,0.0017,0.005,0.0011,0.0,0.0,0
video-2-alert.mkv,alert,0,90,0.3346,0.315,0.0094,0.0016,0.005,0.0009,0.0,0.0,0
video-2-alert.mkv,alert,0,91,0.3336,0.315,0.0093,0.0018,0.005,0.0011,0.0,0.0,0
video-2-alert.mkv,alert,0,92,0.3313,0.2426,0.019,0.0019,0.005,0.0012,0.0,0.0,0
video-2-alert.mkv,alert,0,93,0.3307,0.2426,0.0183,0.0019,0.005,0.0012,0.0,0.0,0
video-2-alert.mkv,alert,0,94,0.3307,0.2426,0.0183,0.0021,0.0063,0.0014,0.0,0.0,0
video-2-alert.mkv,alert,0,95,0.3299,0.2426,0.0184,0.0021,0.0063,0.0013,0.0,0.0,0
video-2-alert.mkv,alert,0,96,0.3305,0.2426,0.0181,0.0023,0.0063,0.0013,0.0,0.0,0
video-2-alert.mkv,alert,0,97,0.3315,0.2426,0.0185,0.0023,0.0063,0.0013,0.0,0.0,0
video-2-alert.mkv,alert,0,98,0.3341,0.3121,0.008,0.0022,0.0063,0.0013,0.0,0.0,0
video-2-alert.mkv,alert,0,99,0.3367,0.3121,0.0101,0.0024,0.0063,0.0014,0.0,0.0,0
video-2-alert.mkv,alert,0,100,0.3376,0.3121,0.0106,0.0022,0.0057,0.0013,0.0,0.0,0
video-2-alert.mkv,alert,0,101,0.3396,0.3121,0.0098,0.0022,0.0057,0.0012,0.0,0.0,0
video-2-alert.mkv,alert,0,102,0.342,0.3121,0.0097,0.0022,0.0057,0.0012,0.0,0.0,0
